     atm_u           atm_v           atm_T           atm_q           R_net     
-2.03287745E+00  6.48692656E+00  2.93049988E+02  9.86414589E-03  -5.07093348E+01
-1.91330457E+00  6.54299259E+00  2.93039978E+02  9.86404251E-03  -5.06706682E+01
-1.98745334E+00  6.42042637E+00  2.93049988E+02  9.86435171E-03  -5.06320015E+01
-1.83471310E+00  6.35651541E+00  2.93039978E+02  9.87745076E-03  -5.05933348E+01
-1.82817817E+00  6.59219599E+00  2.93019989E+02  9.87755414E-03  -5.05546682E+01
-1.99159920E+00  6.55513000E+00  2.93029999E+02  9.89735965E-03  -5.05160015E+01
-2.01530981E+00  6.47041368E+00  2.93010010E+02  9.89797898E-03  -5.04773348E+01
-2.21334743E+00  6.97735596E+00  2.93010010E+02  9.91778821E-03  -5.04386682E+01
-2.10507727E+00  6.88539410E+00  2.93029999E+02  9.93078668E-03  -5.04000015E+01
-1.96130610E+00  6.75086546E+00  2.93019989E+02  9.91830695E-03  -5.03656681E+01
-1.75115716E+00  6.77122450E+00  2.93000000E+02  9.93068330E-03  -5.03313347E+01
-1.63027072E+00  6.49038363E+00  2.92959991E+02  9.93718114E-03  -5.02970013E+01
-1.69587231E+00  6.80177307E+00  2.92940002E+02  9.95069928E-03  -5.02626678E+01
-1.77268982E+00  6.85448503E+00  2.92919983E+02  9.97040700E-03  -5.02283344E+01
-1.83441997E+00  7.30313683E+00  2.92910004E+02  9.97669715E-03  -5.01940010E+01
-1.77884293E+00  6.78054714E+00  2.92919983E+02  9.97680053E-03  -5.01596676E+01
-1.79787779E+00  7.15765572E+00  2.92910004E+02  9.97700915E-03  -5.01253342E+01
-1.60614920E+00  6.95700264E+00  2.92899994E+02  9.97659285E-03  -5.00910007E+01
-1.92350721E+00  7.28018045E+00  2.92899994E+02  1.00030098E-02  -5.00566673E+01
-1.83786261E+00  7.53922176E+00  2.92899994E+02  1.00095086E-02  -5.00223339E+01
-1.55836427E+00  7.02933121E+00  2.92919983E+02  9.99703072E-03  -4.99880005E+01
-1.78472972E+00  7.37718391E+00  2.92889984E+02  1.00099267E-02  -4.99536671E+01
-1.50100029E+00  7.18488693E+00  2.92889984E+02  1.00298459E-02  -4.99193336E+01
-1.42747247E+00  7.01626110E+00  2.92880005E+02  1.00296363E-02  -4.98850002E+01
-1.43814015E+00  7.33025551E+00  2.92880005E+02  1.00422176E-02  -4.98506668E+01
-1.10132933E+00  6.72542191E+00  2.92859985E+02  1.00224037E-02  -4.98163334E+01
-1.58253181E+00  8.06622505E+00  2.92829987E+02  1.00562675E-02  -4.97820000E+01
-1.45018351E+00  6.82257938E+00  2.92839996E+02  1.00559527E-02  -4.97476665E+01
-1.19739997E+00  7.07945108E+00  2.92820007E+02  1.00361370E-02  -4.97133331E+01
-1.59676111E+00  7.51217365E+00  2.92809998E+02  1.00623472E-02  -4.96789997E+01
-1.30154097E+00  7.09155083E+00  2.92809998E+02  1.00687426E-02  -4.96446663E+01
-1.20240307E+00  7.10903120E+00  2.92789978E+02  1.00754537E-02  -4.96103329E+01
-1.02576077E+00  7.20737267E+00  2.92779999E+02  1.00817429E-02  -4.95759995E+01
-1.08831596E+00  7.37007904E+00  2.92769989E+02  1.01082716E-02  -4.95416660E+01
-9.58000660E-01  7.08552980E+00  2.92779999E+02  1.01083759E-02  -4.95073326E+01
-9.63389277E-01  7.41770077E+00  2.92769989E+02  1.01085883E-02  -4.94729992E+01
-9.38269019E-01  7.75343466E+00  2.92760010E+02  1.01218019E-02  -4.94386658E+01
-1.10506558E+00  7.30690956E+00  2.92750000E+02  1.01216957E-02  -4.94043324E+01
