     atm_u           atm_v           atm_T           atm_q           R_net     
-9.19989586E+00  3.16777754E+00  2.93320007E+02  8.80185608E-03  -2.84439742E+01
-8.28915977E+00  2.98428273E+00  2.93279999E+02  8.81945062E-03  -2.84666875E+01
-7.54512024E+00  2.80600619E+00  2.93250000E+02  8.83886963E-03  -2.84894009E+01
-8.24808121E+00  3.06743526E+00  2.93220001E+02  8.81890208E-03  -2.88359409E+01
-9.23372936E+00  3.03589535E+00  2.93199982E+02  8.77979677E-03  -2.91824809E+01
-8.45549488E+00  2.99424767E+00  2.93179993E+02  8.77979677E-03  -2.95290209E+01
-8.39435005E+00  3.40859222E+00  2.93179993E+02  8.78007058E-03  -2.98755609E+01
-8.60216713E+00  2.81162214E+00  2.93179993E+02  8.76609609E-03  -3.02221009E+01
-8.51675224E+00  3.37202168E+00  2.93179993E+02  8.77299160E-03  -3.05686409E+01
-8.65916348E+00  2.63085604E+00  2.93169983E+02  8.76645930E-03  -3.09151809E+01
-7.50560904E+00  2.49678373E+00  2.93139984E+02  8.77970643E-03  -3.12617209E+01
-7.89778233E+00  2.89017773E+00  2.93109985E+02  8.79249722E-03  -3.16082609E+01
-8.29321289E+00  2.69462872E+00  2.93079987E+02  8.78007058E-03  -3.19548009E+01
-7.59615135E+00  3.19312930E+00  2.93089996E+02  8.78587365E-03  -3.23013409E+01
-7.16857624E+00  2.83824086E+00  2.93070007E+02  8.79277010E-03  -3.26478809E+01
-7.12605333E+00  3.29269910E+00  2.93049988E+02  8.78605526E-03  -3.29944209E+01
-7.42475462E+00  3.13633943E+00  2.93079987E+02  8.77290126E-03  -3.33409609E+01
-6.43501520E+00  2.34215379E+00  2.93070007E+02  8.79240595E-03  -3.36875010E+01
-6.44626474E+00  2.82971239E+00  2.93039978E+02  8.78578331E-03  -3.40340410E+01
-8.57737923E+00  3.32694507E+00  2.93059998E+02  8.73434450E-03  -3.43805810E+01
-8.66551590E+00  3.43092155E+00  2.93149994E+02  8.68790597E-03  -3.47271210E+01
-7.49029350E+00  3.05673218E+00  2.93229980E+02  8.69461615E-03  -3.50736610E+01
-7.93646145E+00  3.12625575E+00  2.93239990E+02  8.68799537E-03  -3.54202010E+01
-7.64356661E+00  3.43515468E+00  2.93279999E+02  8.66759848E-03  -3.57667410E+01
-6.35187101E+00  3.19465780E+00  2.93269989E+02  8.67403764E-03  -3.61132810E+01
-7.76821947E+00  3.47489190E+00  2.93229980E+02  8.65471922E-03  -3.64598210E+01
-7.11194134E+00  3.34662437E+00  2.93260010E+02  8.60257912E-03  -3.68063610E+01
-7.26576138E+00  3.41900659E+00  2.93269989E+02  8.60293489E-03  -3.71529010E+01
-7.68606424E+00  3.43814206E+00  2.93299988E+02  8.57646856E-03  -3.74994410E+01
-8.34671211E+00  4.72234106E+00  2.93350006E+02  8.55027046E-03  -3.78459810E+01
-6.39894819E+00  4.56432533E+00  2.93369995E+02  8.57593492E-03  -3.81925210E+01
-6.52782393E+00  4.52007866E+00  2.93329987E+02  8.59605148E-03  -3.85390610E+01
-6.21080732E+00  4.39749670E+00  2.93309998E+02  8.58890079E-03  -3.88856010E+01
-7.13039923E+00  5.39268112E+00  2.93299988E+02  8.57602432E-03  -3.90205210E+01
-6.71909809E+00  6.09250498E+00  2.93320007E+02  8.56923033E-03  -3.91554410E+01
-6.43880033E+00  5.44120884E+00  2.93320007E+02  8.56288150E-03  -3.92903610E+01
-6.60728455E+00  5.33140612E+00  2.93309998E+02  8.55608936E-03  -3.94252810E+01
-6.18674755E+00  5.22820807E+00  2.93309998E+02  8.56270455E-03  -3.95602010E+01
-6.67009211E+00  4.98986673E+00  2.93289978E+02  8.56940821E-03  -3.96951210E+01
-6.69241619E+00  4.72098064E+00  2.93309998E+02  8.56931880E-03  -3.98300410E+01
-7.47788906E+00  5.25554752E+00  2.93309998E+02  8.56905337E-03  -3.99649610E+01
-6.89898825E+00  4.24428606E+00  2.93320007E+02  8.58819019E-03  -4.00998810E+01
-6.79085684E+00  4.73736858E+00  2.93299988E+02  8.60785972E-03  -4.02348010E+01
-6.36691713E+00  4.65987825E+00  2.93279999E+02  8.63352325E-03  -4.03697210E+01
-7.76040792E+00  4.49855328E+00  2.93260010E+02  8.63942504E-03  -4.05046410E+01
-7.16382980E+00  4.42447138E+00  2.93250000E+02  8.65221117E-03  -4.06395610E+01
-7.60668373E+00  5.22793007E+00  2.93239990E+02  8.67868029E-03  -4.07744809E+01
-6.86070871E+00  4.28704739E+00  2.93239990E+02  8.69155675E-03  -4.09094009E+01
-8.65548038E+00  5.47176790E+00  2.93269989E+02  8.69074650E-03  -4.10443209E+01
-6.85562134E+00  4.58943939E+00  2.93269989E+02  8.71042069E-03  -4.11792409E+01
-6.77590370E+00  4.23405552E+00  2.93229980E+02  8.73680506E-03  -4.13141609E+01
-6.77445412E+00  4.72592592E+00  2.93199982E+02  8.75630043E-03  -4.14490809E+01
-6.99839211E+00  5.23546648E+00  2.93160004E+02  8.77588894E-03  -4.15840009E+01
-6.61741018E+00  4.53103685E+00  2.93130005E+02  8.78958497E-03  -4.17189209E+01
-7.24404430E+00  5.34077024E+00  2.93139984E+02  8.78949370E-03  -4.18538409E+01
-6.51343060E+00  4.99793148E+00  2.93130005E+02  8.80908500E-03  -4.19887609E+01
-6.62629271E+00  5.04788494E+00  2.93109985E+02  8.82831309E-03  -4.21236809E+01
-6.64572001E+00  5.26733303E+00  2.93089996E+02  8.84146616E-03  -4.22586009E+01
-5.87085056E+00  4.55390072E+00  2.93089996E+02  8.85425229E-03  -4.23935209E+01
-6.24625206E+00  5.29720926E+00  2.93059998E+02  8.87403078E-03  -4.25284409E+01
-7.41059446E+00  5.38411427E+00  2.93059998E+02  8.87384638E-03  -4.26633609E+01
-6.47220850E+00  5.00229168E+00  2.93079987E+02  8.88028555E-03  -4.27982808E+01
-6.80018854E+00  5.19913816E+00  2.93049988E+02  8.89316574E-03  -4.29332008E+01
-6.39947128E+00  4.98185349E+00  2.93029999E+02  8.91892426E-03  -4.29237041E+01
-6.47032976E+00  4.82283401E+00  2.93000000E+02  8.92573409E-03  -4.29142075E+01
-6.03065205E+00  4.88352728E+00  2.93000000E+02  8.91892426E-03  -4.29047108E+01
-6.29426956E+00  4.64053583E+00  2.92989990E+02  8.91892426E-03  -4.28952141E+01
