     atm_u           atm_v           atm_T           atm_q           R_net     
-5.08257568E-01  -3.96757793E+00  2.91250000E+02  7.92932790E-03  1.46689087E+02
-6.04727641E-02  -3.84952497E+00  2.90850006E+02  7.66835408E-03  1.77901611E+01
-6.33348227E-01  -3.32013106E+00  2.91250000E+02  7.87728839E-03  1.77147980E+02
 5.68843961E-01  -3.47373247E+00  2.90750000E+02  7.82555062E-03  -1.02402344E+01
-8.20917636E-02  -3.35899687E+00  2.91049988E+02  7.82555062E-03  1.62084259E+02
 4.39632028E-01  -2.90694404E+00  2.91850006E+02  7.72145251E-03  2.62912659E+02
-2.21254647E-01  -2.81130672E+00  2.91850006E+02  7.77334673E-03  2.25801575E+02
-1.38357446E-01  -3.04686022E+00  2.91850006E+02  7.87806511E-03  1.72810486E+02
-2.39415675E-01  -3.70226693E+00  2.91149994E+02  8.36492423E-03  5.43265686E+01
-8.34045887E-01  -3.29611397E+00  2.90750000E+02  8.41979869E-03  5.15974121E+01
-3.30320269E-01  -3.77557802E+00  2.91549988E+02  8.47666431E-03  1.96205688E+02
-6.85810745E-01  -3.43215156E+00  2.91250000E+02  8.14534537E-03  7.53969421E+01
-6.21305630E-02  -3.55945778E+00  2.91449982E+02  8.03748425E-03  9.68793640E+01
-1.43459579E-02  -2.73996234E+00  2.91149994E+02  8.03748425E-03  8.59525757E+01
 1.62557706E-01  -2.38446546E+00  2.90850006E+02  8.14534537E-03  3.68016663E+01
 5.64989567E-01  -2.52762461E+00  2.90649994E+02  8.20056349E-03  -5.88601685E+00
 8.84132206E-01  -2.15573883E+00  2.89949982E+02  8.14614818E-03  -5.15698547E+01
 6.37339115E-01  -2.28269529E+00  2.89449982E+02  8.20137095E-03  -5.31083374E+01
 4.53221172E-01  -2.57034826E+00  2.89350006E+02  8.25611502E-03  -3.85458679E+01
-1.39709726E-01  -2.85658550E+00  2.89449982E+02  8.25530011E-03  -1.30061340E+01
 1.07812077E-01  -2.05717683E+00  2.89350006E+02  8.36574752E-03  -1.99814758E+01
 6.21183932E-01  -2.15214562E+00  2.89049988E+02  8.59057438E-03  -1.85693054E+01
 4.30320889E-01  -1.97363222E+00  2.89049988E+02  8.64761136E-03  -4.80114746E+00
 3.36451352E-01  -2.03233862E+00  2.89250000E+02  8.59057438E-03  -3.71134033E+01
 4.82365638E-01  -1.68220794E+00  2.88750000E+02  8.53387080E-03  -6.17336731E+01
 8.73057544E-01  -1.69878495E+00  2.88250000E+02  8.47750064E-03  -1.30891724E+01
 8.77643168E-01  -1.51401532E+00  2.87850006E+02  8.42062943E-03  -2.06154785E+01
 8.14671814E-01  -1.08899486E+00  2.87949982E+02  8.53302982E-03  -2.43885193E+01
 7.73574710E-01  -7.39244461E-01  2.87350006E+02  8.58888030E-03  -2.67943726E+01
 9.88829732E-01  -5.87124944E-01  2.87049988E+02  8.64590611E-03  -2.87438049E+01
 9.42024589E-01  -6.59613252E-01  2.86149994E+02  8.70326720E-03  -2.89028625E+01
 1.26788759E+00  -6.82686746E-01  2.85449982E+02  8.58803466E-03  4.11187744E+00
 1.26649165E+00  -8.03740501E-01  2.85250000E+02  8.47499445E-03  3.60510254E+00
 9.01027262E-01  -8.37287247E-01  2.84949982E+02  8.19813926E-03  3.45269775E+00
 1.07536519E+00  -1.04574847E+00  2.84949982E+02  8.08966160E-03  3.09579468E+00
 1.12319005E+00  -1.20869517E+00  2.85049988E+02  8.19894671E-03  2.42770386E+00
 8.05331349E-01  -9.29699659E-01  2.84649994E+02  8.14454257E-03  2.17053223E+00
 7.32637107E-01  -9.37732935E-01  2.84449982E+02  8.14454257E-03  5.99694824E+00
 9.69016612E-01  -1.11866295E+00  2.84350006E+02  7.87728839E-03  5.02044678E+00
 3.82386386E-01  -7.70312011E-01  2.83949982E+02  7.72069208E-03  4.17816162E+00
-8.76790583E-02  -6.23868883E-01  2.83649994E+02  7.72069208E-03  4.43035889E+00
 3.56536567E-01  -6.93744600E-01  2.83449982E+02  7.56685855E-03  4.42266846E+00
 5.73213875E-01  -1.39734715E-01  2.83350006E+02  7.56685855E-03  3.88989258E+00
 3.68168831E-01  -3.81250173E-01  2.83149994E+02  7.66835408E-03  7.62207031E+00
 8.32751989E-02  -1.12539962E-01  2.83449982E+02  7.71993212E-03  7.27206421E+00
 2.91463196E-01  -3.93889874E-01  2.82949982E+02  7.56685855E-03  6.41326904E+00
 3.43122512E-01  -5.28362453E-01  2.83049988E+02  7.61858374E-03  6.25421143E+00
 2.27486238E-01  -3.41101170E-01  2.83149994E+02  7.61933392E-03  6.36614990E+00
 5.54844514E-02  -8.31954107E-02  2.82949982E+02  7.56909559E-03  6.28659058E+00
 5.54844514E-02  -8.31954107E-02  2.82850006E+02  7.56984157E-03  8.31079102E+00
 5.54844514E-02  -8.31954107E-02  2.82549988E+02  7.36887986E-03  8.43017578E+00
 1.83098689E-01  -2.74544865E-01  2.82350006E+02  7.22127687E-03  8.06890869E+00
 1.66453362E-01  -2.49586225E-01  2.82049988E+02  7.12363329E-03  7.30883789E+00
 1.55356467E-01  -2.32947141E-01  2.82049988E+02  7.12363329E-03  7.21032715E+00
 3.53202164E-01  -5.21678269E-01  2.81949982E+02  7.02785701E-03  1.02722168E+01
 2.60776907E-01  -3.91018420E-01  2.81649994E+02  6.93322346E-03  2.73873901E+01
 2.98668563E-01  -4.37832206E-01  2.81949982E+02  7.07560219E-03  3.36809998E+01
 2.16955125E-01  -3.24084014E-01  2.82250000E+02  7.27018388E-03  2.71084290E+01
 3.09609681E-01  -4.78583157E-01  2.82149994E+02  7.27018388E-03  3.58408813E+01
 7.10717514E-02  -3.83469433E-01  2.82649994E+02  7.41940411E-03  2.79872131E+01
 8.34024325E-02  -4.82849926E-01  2.82549988E+02  7.46949809E-03  4.58947449E+01
 1.16459057E-01  -4.96525228E-01  2.82750000E+02  7.51989288E-03  4.84792786E+01
 2.00864866E-01  -3.34295213E-01  2.82850006E+02  7.46949809E-03  3.45908813E+01
 2.91864097E-01  -4.89607304E-01  2.82949982E+02  7.57058710E-03  1.92417908E+01
-7.74975047E-02  -4.83832747E-01  2.82850006E+02  7.52063328E-03  1.70967407E+01
-9.26725473E-03  -5.89927197E-01  2.82649994E+02  7.42013520E-03  2.62994385E+01
