     atm_u           atm_v           atm_T           atm_q     
-3.90258000E+00   4.03917000E-01   2.91924000E+02   9.76937000E-03
-2.56102000E+00   4.96391000E-01   2.90636000E+02   9.87722000E-03
-2.85774000E+00   5.54769000E-01   2.91550000E+02   9.80042000E-03
-2.27586000E+00  -1.47113000E-01   2.91272000E+02   9.82550000E-03
-2.55554000E+00  -1.30790000E-01   2.90952000E+02   9.85013000E-03
-2.36285000E+00   1.72045000E-01   2.91184000E+02   9.83424000E-03
-3.54556000E+00   1.39224000E-01   2.91800000E+02   9.77838000E-03
-2.87419000E+00  -8.91861000E-01   2.91730000E+02   9.78531000E-03
-2.63541000E+00   5.99909000E-01   2.91670000E+02   9.79079000E-03
-3.39696000E+00   3.93344000E-02   2.91274000E+02   9.82236000E-03
-3.29913000E+00   1.16248000E-01   2.92103000E+02   9.75040000E-03
-2.53142000E+00   6.50305000E-01   2.91151000E+02   9.83896000E-03
-3.42461000E+00   3.12909000E-01   2.91764000E+02   9.77991000E-03
-2.83888000E+00  -2.50224000E-01   2.91263000E+02   9.82474000E-03
-2.64560000E+00   6.06015000E-02   2.91284000E+02   9.82274000E-03
-2.44796000E+00   3.53237000E-01   2.90998000E+02   9.84815000E-03
-2.63637000E+00  -3.65984000E-01   2.91338000E+02   9.81642000E-03
-2.91802000E+00  -1.75577000E-02   2.91848000E+02   9.77289000E-03
-3.84113000E+00  -5.39257000E-01   2.91534000E+02   9.79913000E-03
-4.07724000E+00  -5.47657000E-01   2.91319000E+02   9.81941000E-03
-3.43481000E+00  -2.34247000E-01   2.91650000E+02   9.78981000E-03
-3.85132000E+00  -6.71368000E-01   2.91936000E+02   9.76586000E-03
-4.04659000E+00  -3.63137000E-01   2.91438000E+02   9.81017000E-03
-3.45130000E+00   2.87807000E-01   2.91351000E+02   9.81668000E-03
-2.69528000E+00  -2.93084000E-01   2.91111000E+02   9.83673000E-03
-3.46383000E+00   1.88055000E-01   2.91182000E+02   9.82979000E-03
-3.32995000E+00  -2.54215000E-01   2.91782000E+02   9.77888000E-03
-3.71136000E+00  -2.08737000E-02   2.91085000E+02   9.83731000E-03
-2.66580000E+00  -5.80961000E-01   2.90942000E+02   9.84915000E-03
-2.87476000E+00  -6.97599000E-02   2.91472000E+02   9.80626000E-03
-3.02819000E+00  -3.70870000E-01   2.91324000E+02   9.81888000E-03
-2.60107000E+00   1.77269000E-01   2.91441000E+02   9.80752000E-03
-2.86632000E+00  -1.93707000E-01   2.91415000E+02   9.81040000E-03
-3.52667000E+00  -3.83704000E-01   2.91505000E+02   9.80209000E-03
-2.87828000E+00  -2.48100000E-01   2.91389000E+02   9.81617000E-03
-3.21112000E+00  -8.00094000E-01   2.91320000E+02   9.82128000E-03
-3.17061000E+00   1.02364000E-01   2.91490000E+02   9.80736000E-03
-3.21816000E+00  -3.01980000E-01   2.91503000E+02   9.80271000E-03
-2.75158000E+00  -4.73699000E-02   2.91644000E+02   9.79527000E-03
-3.09393000E+00   5.47356000E-02   2.91443000E+02   9.81027000E-03
-3.37813000E+00  -1.67013000E-01   2.91415000E+02   9.81479000E-03
-3.30744000E+00  -5.64283000E-01   2.91455000E+02   9.80906000E-03
-2.82825000E+00   6.00273000E-01   2.91812000E+02   9.77682000E-03
-3.85766000E+00  -3.61996000E-01   2.91327000E+02   9.81843000E-03
-3.82044000E+00   7.69330000E-02   2.91530000E+02   9.80076000E-03
-3.03155000E+00   4.19016000E-01   2.91630000E+02   9.79130000E-03
-2.77608000E+00  -4.19399000E-02   2.91462000E+02   9.80679000E-03
-3.16413000E+00  -3.91667000E-03   2.91640000E+02   9.78989000E-03
-3.34944000E+00  -2.13255000E-01   2.91843000E+02   9.77260000E-03
-3.21770000E+00   2.80772000E-01   2.91369000E+02   9.81409000E-03
-3.30425000E+00  -4.00386000E-01   2.91409000E+02   9.81222000E-03
-3.15251000E+00  -1.90746000E-01   2.91470000E+02   9.80748000E-03
-3.15491000E+00   3.06723000E-01   2.91120000E+02   9.83775000E-03
-2.36443000E+00  -2.90792000E-01   2.91175000E+02   9.83277000E-03
-3.57697000E+00  -7.29625000E-01   2.91180000E+02   9.83063000E-03
-3.05954000E+00  -1.01328000E-01   2.91296000E+02   9.81903000E-03
-2.87314000E+00  -7.79669000E-01   2.91282000E+02   9.82043000E-03
-2.90225000E+00  -1.11550000E-01   2.90913000E+02   9.85238000E-03
-3.30721000E+00  -5.39318000E-01   2.91358000E+02   9.81582000E-03
-2.19565000E+00   3.55868000E-01   2.91008000E+02   9.84099000E-03
-2.99282000E+00   2.51010000E-01   2.91359000E+02   9.81402000E-03
-2.96090000E+00  -2.63489000E-01   2.91528000E+02   9.80120000E-03
-4.04918000E+00  -4.68837000E-01   2.91625000E+02   9.79228000E-03
-3.20008000E+00  -1.18399000E-01   2.91388000E+02   9.81137000E-03
-2.54234000E+00   6.19048000E-02   2.91203000E+02   9.83243000E-03
-2.83240000E+00  -2.24549000E-01   2.91486000E+02   9.80642000E-03
-3.14430000E+00  -3.61834000E-02   2.91536000E+02   9.80305000E-03
-1.99676000E+00  -2.52512000E-01   2.90957000E+02   9.85353000E-03
-3.29158000E+00  -4.58074000E-01   2.91393000E+02   9.81402000E-03
